p
0 1.333332
1 1 -10.506663999999999
2 2 2.720002
3 3 8.533334
4 0 0.8
4 1 -1.866668
4 2 1.866668
4 3 2.4
4 4 -2.24
5 0 -1.333332
5 1 4.0
5 2 -2.4
5 3 -4.0
5 5 3.4133319999999996
6 0 3.466668
6 1 2.4
6 2 -3.466668
6 3 0.266668
6 6 -3.306668
7 0 -4.0
7 1 -0.266668
7 2 -1.866668
7 3 -14.666668
7 7 11.306667999999998
8 8 1.8133339999999998
9 9 2.506668
10 10 -1.759998
11 11 0.47999800000000015
12 4 1.333332
12 8 -2.4
12 9 1.866668
12 10 0.8
12 11 -3.466668
12 12 2.053334
13 5 -2.933332
13 8 3.466668
13 9 -2.4
13 10 1.333332
13 11 0.266668
13 13 -0.7200019999999998
14 6 4.0
14 8 -2.4
14 9 2.933332
14 10 4.0
14 11 1.866668
14 14 -5.093334
15 7 -1.333332
15 8 -1.866668
15 9 -3.466668
15 10 -3.466668
15 11 2.4
15 15 2.106668
16 16 -4.426667999999999
17 17 -11.359998
18 18 9.280002000000001
19 19 5.6
20 12 -1.866668
20 16 12.0
20 17 9.333332
20 18 -6.666668
20 19 -1.333332
20 20 -5.466664
21 13 1.866668
21 16 0.8
21 17 -3.466668
21 18 -3.466668
21 19 -0.266668
21 21 2.160002
22 14 -0.8
22 16 0.266668
22 17 9.333332
22 18 -1.866668
22 19 -3.466668
22 22 -3.0133320000000006
23 15 2.933332
23 16 -0.8
23 17 4.0
23 18 -4.0
23 19 -2.4
23 23 -1.626666
24 24 -0.9600000000000002
25 25 1.2800019999999999
26 26 3.6266679999999996
27 27 0.3200020000000001
28 20 -0.266668
28 24 0.8
28 25 -1.866668
28 26 -0.266668
28 27 2.933332
28 28 -0.9066640000000001
29 21 -0.266668
29 24 2.933332
29 25 -2.933332
29 26 -1.333332
29 27 -0.266668
29 29 0.6400000000000001
30 22 1.866668
30 24 -4.0
30 25 2.933332
30 26 -4.0
30 27 -2.4
30 30 3.04
31 23 4.0
31 24 -0.266668
31 25 -3.466668
31 26 -2.4
31 27 -2.933332
31 31 2.2933339999999998
32 0 -0.8
32 32 -12.666665999999998
33 1 17.333332
33 33 -10.479997999999998
34 2 -0.266668
34 34 -0.13333400000000006
35 3 -1.866668
35 35 0.5599999999999998
36 32 2.933332
36 33 3.466668
36 34 -1.333332
36 35 1.866668
36 36 -4.213334
37 32 17.333332
37 33 -4.0
37 34 -1.333332
37 35 2.933332
37 37 -5.653333999999998
38 32 2.4
38 33 -0.8
38 34 2.4
38 35 0.8
38 38 -12.32
39 32 -0.8
39 33 2.933332
39 34 2.933332
39 35 -4.0
39 39 -0.9599979999999999
40 8 -0.8
40 40 9.466665999999998
41 9 -4.0
41 41 1.5733340000000002
42 10 1.333332
42 42 3.8666679999999998
43 11 -1.333332
43 43 3.9200000000000004
44 36 1.333332
44 40 2.4
44 41 -2.4
44 42 -2.933332
44 43 3.466668
44 44 -2.426668
45 37 -2.933332
45 40 -1.333332
45 41 -0.8
45 42 1.333332
45 43 -4.0
45 45 4.506666
46 38 20.0
46 40 -1.866668
46 41 2.933332
46 42 -9.333332
46 43 -3.466668
46 46 -4.826664
47 39 1.333332
47 40 -17.333332
47 41 -1.866668
47 42 0.8
47 43 -4.0
47 47 12.026667999999999
48 16 -4.0
48 48 5.626668
49 17 3.466668
49 49 -2.1066659999999997
50 18 -1.866668
50 50 -2.266666
51 19 -4.0
51 51 4.933332
52 44 3.466668
52 48 -1.866668
52 49 -4.0
52 50 4.0
52 51 -2.933332
52 52 -0.5066660000000001
53 45 -0.8
53 48 -2.933332
53 49 -4.0
53 50 0.8
53 51 -2.933332
53 53 3.7066660000000002
54 46 1.333332
54 48 -0.266668
54 49 -0.266668
54 50 0.8
54 51 0.266668
54 54 -1.146664
55 47 -3.466668
55 48 -0.266668
55 49 -2.4
55 50 2.933332
55 51 -2.933332
55 55 7.44
56 24 1.866668
56 56 -11.066666
57 25 2.4
57 57 0.3466640000000001
58 26 1.333332
58 58 2.053334
59 27 1.333332
59 59 -10.533334
60 52 2.933332
60 56 20.0
60 57 -0.8
60 58 -2.933332
60 59 -1.333332
60 60 -8.746668
61 53 2.933332
61 56 1.333332
61 57 -0.8
61 58 -0.8
61 59 -2.4
61 61 0.266668
62 54 -0.266668
62 56 -3.466668
62 57 0.266668
62 58 1.333332
62 59 -0.8
62 62 1.066668
